"species","status","alien_range","native_range","summary"
"Cecropia sp","Not in GISD",NA,NA,NA
"Dalbergia nigra","Not in GISD",NA,NA,NA
"Machaerium nictitans","Not in GISD",NA,NA,NA
"Himatanthus drasticus","Not in GISD",NA,NA,NA
"Cariniana legalis","Not in GISD",NA,NA,NA
"Albizia polycephala","Not in GISD",NA,NA,NA
"Gallesia integrifolia","Not in GISD",NA,NA,NA
"Talisia esculenta","Not in GISD",NA,NA,NA
"Euterpe oleracea","Not in GISD",NA,NA,NA
"Bactris gasipae","Not in GISD",NA,NA,NA
"Cedrela fissilis","Not in GISD",NA,NA,NA
"Tabebuia","Not in GISD",NA,NA,NA
"Theobroma grandiflora","Not in GISD",NA,NA,NA
"Bactris gasipaes","Not in GISD",NA,NA,NA
"Anacardium occidentale","Not in GISD",NA,NA,NA
"Schizolobium amazonicum","Not in GISD",NA,NA,NA
"Carapa guianensis","Not in GISD",NA,NA,NA
"Theobroma cacao","Not in GISD",NA,NA,NA
"Dipteryx","Not in GISD",NA,NA,NA
"Andira","Not in GISD",NA,NA,NA
"Dipteryx guianensis   Cumarú","Not in GISD",NA,NA,NA
"Cordia","Not in GISD",NA,NA,NA
"Spondias mombin","Not in GISD",NA,NA,NA
"Swietenia macrophylla","Not in GISD",NA,NA,NA
"Copaifera","Not in GISD",NA,NA,NA
"Inga","Not in GISD",NA,NA,NA
"Johanesia princeps Vell","Not in GISD",NA,NA,NA
"Trema micrantha L.","Not in GISD",NA,NA,NA
"Inga edulis","Not in GISD",NA,NA,NA
"Inga cylindrica","Not in GISD",NA,NA,NA
"Enterolobium contortisiliquum","Not in GISD",NA,NA,NA
"Cytharexyllum myrianthum","Not in GISD",NA,NA,NA
"Unha d cabra c/m espinho (sem identificação)","Not in GISD",NA,NA,NA
"Sparattanthelium botocudorum","Not in GISD",NA,NA,NA
"Piptadenia paniculata","Not in GISD",NA,NA,NA
"Psidium cattleianum Sabine","Not in GISD",NA,NA,NA
"Thyrsodium schomburgkianum","Not in GISD",NA,NA,NA
"Canela folha longa","Not in GISD",NA,NA,NA
"Jacaranda micrantha","Not in GISD",NA,NA,NA
"Pradosia atroviolacea","Not in GISD",NA,NA,NA
"Combuja","Not in GISD",NA,NA,NA
"Sorocea bonplandii","Not in GISD",NA,NA,NA
"Eugenia brasiliensis","Not in GISD",NA,NA,NA
"Schizolobium parahyba","Not in GISD",NA,NA,NA
"Tabebuia impetiginosa","Not in GISD",NA,NA,NA
"Tabebuia heptaphylla","Not in GISD",NA,NA,NA
"Ipê verde","Not in GISD",NA,NA,NA
"Jabuti de macaco","Not in GISD",NA,NA,NA
"Genipa americana","Not in GISD",NA,NA,NA
"Cariniana","Not in GISD",NA,NA,NA
"Nectandra rigida","Not in GISD",NA,NA,NA
"Jaracatia spinosa","Not in GISD",NA,NA,NA
"Manilkara salzmanii","Not in GISD",NA,NA,NA
"Eugenia candolleana","Not in GISD",NA,NA,NA
"Macrolobium bifolium","Not in GISD",NA,NA,NA
"Johanesia princeps","Not in GISD",NA,NA,NA
"Spondias lutea","Not in GISD",NA,NA,NA
"Trema micrantha","Not in GISD",NA,NA,NA
"Ingá laurinha","Not in GISD",NA,NA,NA
"Tapirira guianensis","Not in GISD",NA,NA,NA
"Unha de cabra","Not in GISD",NA,NA,NA
"Bixa arborea","Not in GISD",NA,NA,NA
"Protium heptaphyllum","Not in GISD",NA,NA,NA
"Andira anthelmia","Not in GISD",NA,NA,NA
"Psidium rufum","Not in GISD",NA,NA,NA
"Peltophorum dubium (","Not in GISD",NA,NA,NA
"Calophylum brasiliensis","Not in GISD",NA,NA,NA
"Macrosamanea pedicellaris","Not in GISD",NA,NA,NA
"Platymenia foliolosa","Not in GISD",NA,NA,NA
"Bauhinia forficata","Not in GISD",NA,NA,NA
"Dinizia excelsa Ducke","Not in GISD",NA,NA,NA
"Swartzia euxylophora","Not in GISD",NA,NA,NA
"Euphorbia grantii","Not in GISD",NA,NA,NA
"Manilkara salzmani","Not in GISD",NA,NA,NA
"Caesalpinea echinata","Not in GISD",NA,NA,NA
"1.	Pouteria villamilii","Not in GISD",NA,NA,NA
"2.	Intsia bijuga","Not in GISD",NA,NA,NA
"3.	Pterocarpus indicus","Not in GISD",NA,NA,NA
"4.	Eugenia montalbanica","Not in GISD",NA,NA,NA
"5.	Pometia pinnata","Not in GISD",NA,NA,NA
"Millettia laurentii","Not in GISD",NA,NA,NA
"Bobgunnia fistuloides","Not in GISD",NA,NA,NA
"Dialium pachyphillum","Not in GISD",NA,NA,NA
"Hevea brasiliensis","Not in GISD",NA,NA,NA
"Uapaca mole","Not in GISD",NA,NA,NA
"Pentaclethra macrophylla","Not in GISD",NA,NA,NA
"Piptadeniastrum africanum","Not in GISD",NA,NA,NA
"Barringtonia acutangular","Not in GISD",NA,NA,NA
"Diospyros cambodiana","Not in GISD",NA,NA,NA
"Juniperus Thurifera","Not in GISD",NA,NA,NA
"Pinus pinea","Not in GISD",NA,NA,NA
"Juniperus oxycedrus","Not in GISD",NA,NA,NA
"Spartium Junceum","Not in GISD",NA,NA,NA
"Pinus halepensis","Not in GISD",NA,NA,NA
"Pinus nigra","Not in GISD",NA,NA,NA
"Juniperus thurifera","Not in GISD",NA,NA,NA
"Quercus ilex","Not in GISD",NA,NA,NA
"Quercus faginea","Not in GISD",NA,NA,NA
"Quercus Ilex","Not in GISD",NA,NA,NA
"Intsia bijuga","Not in GISD",NA,NA,NA
"Eugenia montalbanica","Not in GISD",NA,NA,NA
"Pometia pinnata","Not in GISD",NA,NA,NA
"Pterocarpus indicus","Not in GISD",NA,NA,NA
"Dracontemelon dao","Not in GISD",NA,NA,NA
"Artocarpus blancoi","Not in GISD",NA,NA,NA
"Swietenia","Not in GISD",NA,NA,NA
"Pouteria villamilii","Not in GISD",NA,NA,NA
"Mango (Mangifera indica)","Not in GISD",NA,NA,NA
"Black Plum (Syzygium cumini)","Not in GISD",NA,NA,NA
"Lemon (Citrus limon)","Not in GISD",NA,NA,NA
"Acacia (Ear Leaf Acacia)","Not in GISD",NA,NA,NA
"Sheesham (Dalbergia sissoo)","Not in GISD",NA,NA,NA
"Karanj (Millettia pinnata)","Not in GISD",NA,NA,NA
"Mahua (Madhuca longifolia)","Not in GISD",NA,NA,NA
"Custard Apple (Annona squamosa)","Not in GISD",NA,NA,NA
"Shimul (Silk Cotton Tree) (Bombax ceiba)","Not in GISD",NA,NA,NA
"Teak (Tectona Grandis)","Not in GISD",NA,NA,NA
"Acacia (Acacia auriculoformis)","Not in GISD",NA,NA,NA
"Karanj (Pongamia pinnata)","Not in GISD",NA,NA,NA
"Mahua (Madhuca indica)","Not in GISD",NA,NA,NA
"Jamun / Black plum (sygizium cumini)","Not in GISD",NA,NA,NA
"Lemon (citrus limon)","Not in GISD",NA,NA,NA
"Karanj / Pongame tree (pongamia pinnata)","Not in GISD",NA,NA,NA
"Custard Apple","Not in GISD",NA,NA,NA
"Shimal/ Cotton silk tree (bombax ceiba)","Not in GISD",NA,NA,NA
"Teak (tectona grandis)","Not in GISD",NA,NA,NA
"Barringtonia actuangular","Not in GISD",NA,NA,NA
"Diospyros cambodiana","Not in GISD",NA,NA,NA
"Terminalia cambodiana","Not in GISD",NA,NA,NA
"Crateva religiosa","Not in GISD",NA,NA,NA
"Bridelia cambodiana","Not in GISD",NA,NA,NA
"Barringtonia acutangular","Not in GISD",NA,NA,NA
"Xanthophyllum glaucum","Not in GISD",NA,NA,NA
"Cynometra ramiflora","Not in GISD",NA,NA,NA
"Madhuca elliptica","Not in GISD",NA,NA,NA
"Combretum trifoliatum","Not in GISD",NA,NA,NA
"Derris trifoliata","Not in GISD",NA,NA,NA
"Ficus heterophylla","Not in GISD",NA,NA,NA
"Gmelina asiatica","Not in GISD",NA,NA,NA
"Coffea arabica","Not in GISD",NA,NA,NA
"Gliricidia sepium","Not in GISD",NA,NA,NA
"Diphysa americana","Not in GISD",NA,NA,NA
"Swietenia humilis","Not in GISD",NA,NA,NA
"Pinus oocarpa","Not in GISD",NA,NA,NA
"Brosimum alicastrum","Not in GISD",NA,NA,NA
"Enterolobium cyclocarpum","Not in GISD",NA,NA,NA
"Cordia alliodora","Not in GISD",NA,NA,NA
"Leucaena leucocophala","Not in GISD",NA,NA,NA
"Cordia dodecandra","Not in GISD",NA,NA,NA
"Anacardium excelsum","Not in GISD",NA,NA,NA
"Maclura tinctorea","Not in GISD",NA,NA,NA
"Inga sp2","Not in GISD",NA,NA,NA
"Sabal mauritiiformis","Not in GISD",NA,NA,NA
"Tabebuia rosea","Not in GISD",NA,NA,NA
"Guarea guidonia","Not in GISD",NA,NA,NA
"Vitex cymosa","Not in GISD",NA,NA,NA
"Persea americana","Not in GISD",NA,NA,NA
"Hymenaea coubaril","Not in GISD",NA,NA,NA
"Artocarpus altilis","Not in GISD",NA,NA,NA
"Aspidosperma desmanthum","Not in GISD",NA,NA,NA
"Cassia grandis","Not in GISD",NA,NA,NA
"Astronium graveolens","Not in GISD",NA,NA,NA
"Nectandra sp.","Not in GISD",NA,NA,NA
"Caesalpinea coriaria","Not in GISD",NA,NA,NA
"Zygia sp","Not in GISD",NA,NA,NA
"Moringa oleifera","Not in GISD",NA,NA,NA
"Protium sp.","Not in GISD",NA,NA,NA
"Tamarindus indica","Not in GISD",NA,NA,NA
"Annona sp","Not in GISD",NA,NA,NA
"Annona cherimola","Not in GISD",NA,NA,NA
"Albizia sp","Not in GISD",NA,NA,NA
"Mangifera","Not in GISD",NA,NA,NA
"Pterygota colombiana","Not in GISD",NA,NA,NA
"Syzygium sp.","Not in GISD",NA,NA,NA
"Pouteria sapota","Not in GISD",NA,NA,NA
"Cariniana pyriformis","Not in GISD",NA,NA,NA
"Pachira quinata","Not in GISD",NA,NA,NA
"Manilkara zapota","Not in GISD",NA,NA,NA
"Tabebuia chrysantha","Not in GISD",NA,NA,NA
"Nectandra sp2","Not in GISD",NA,NA,NA
"Brosimum","Not in GISD",NA,NA,NA
"Mammea americana","Not in GISD",NA,NA,NA
"Mfsp 2","Not in GISD",NA,NA,NA
"Mfsp 1","Not in GISD",NA,NA,NA
"Trema sp.","Not in GISD",NA,NA,NA
"Ficus sp","Not in GISD",NA,NA,NA
"Acacia melanoxlyn","Not in GISD",NA,NA,NA
"Acacia verticillata","Not in GISD",NA,NA,NA
"Allocasuarina littoralis","Not in GISD",NA,NA,NA
"Allocasuarina paludosa","Not in GISD",NA,NA,NA
"Allocasuarina pusilla","Not in GISD",NA,NA,NA
"Banksia integrifolia","Not in GISD",NA,NA,NA
"Banksia marginata","Not in GISD",NA,NA,NA
"Cassina aculeata","Not in GISD",NA,NA,NA
"Coprosma quadrifida","Not in GISD",NA,NA,NA
"Correa alba","Not in GISD",NA,NA,NA
"Eucalyptus pyoriana","Not in GISD",NA,NA,NA
"Eucalyptus obliqua","Not in GISD",NA,NA,NA
"Eucalyptus radiata","Not in GISD",NA,NA,NA
"Goodenia ovata","Not in GISD",NA,NA,NA
"Gynatrix puchella","Not in GISD",NA,NA,NA
"Hakea decurens","Not in GISD",NA,NA,NA
"indigofera  australis","Not in GISD",NA,NA,NA
"Leptospermum laeviguatum","Not in GISD",NA,NA,NA
"Leptospermum myrsoidies","Not in GISD",NA,NA,NA
"Melaleuca ericifolia","Not in GISD",NA,NA,NA
"Melaleuca squarossa","Not in GISD",NA,NA,NA
"Melicytus dentata","Not in GISD",NA,NA,NA
"Olearia lirata","Not in GISD",NA,NA,NA
"Olearia phlogoppa","Not in GISD",NA,NA,NA
"Pomaderris aspera","Not in GISD",NA,NA,NA
"Viminaria juncea","Not in GISD",NA,NA,NA
"Allocasuarina verticillata","Not in GISD",NA,NA,NA
"Banksia Integrifolia","Not in GISD",NA,NA,NA
"Eucalyptus viminalis subsp. pryoriana","Not in GISD",NA,NA,NA
"Kunzea ericoides","Not in GISD",NA,NA,NA
"Leptospermum continentale","Not in GISD",NA,NA,NA
"Acacia dealbata subsp. dealbata","Not in GISD",NA,NA,NA
"Cassinia aculeata","Not in GISD",NA,NA,NA
"Cassinia trinerva","Not in GISD",NA,NA,NA
"Eucalyptus cypellocarpa","Not in GISD",NA,NA,NA
"Goodia lotifolia","Not in GISD",NA,NA,NA
"Gynatrix pulchella","Not in GISD",NA,NA,NA
"Hedycarya angustifolia","Not in GISD",NA,NA,NA
"Myrsine howittiana","Not in GISD",NA,NA,NA
"Olearia argophylla","Not in GISD",NA,NA,NA
"Ozothamnus ferrugineus","Not in GISD",NA,NA,NA
"Prostanthera lasianthos","Not in GISD",NA,NA,NA
"Solanum aviculare","Not in GISD",NA,NA,NA
"Bedfordia arborescens","Not in GISD",NA,NA,NA
"Eucalyptus regnans","Not in GISD",NA,NA,NA
"Eucalyptus strzeleckii","Not in GISD",NA,NA,NA
"Melaleuca squarrosa","Not in GISD",NA,NA,NA
"Pittosporum biclor","Not in GISD",NA,NA,NA
"Polysicas sambucifolia","Not in GISD",NA,NA,NA
"Tasmannia lanceolata","Not in GISD",NA,NA,NA
"Ziera arboresence","Not in GISD",NA,NA,NA
"Melicytus dentatus","Not in GISD",NA,NA,NA
"Acacia rubida","Not in GISD",NA,NA,NA
"Dodoanea viscosa sub angustissima","Not in GISD",NA,NA,NA
"Eucalyptus blakelyi","Not in GISD",NA,NA,NA
"Eucalyptus bridgesiana","Not in GISD",NA,NA,NA
"Eucalyptus rubida","Not in GISD",NA,NA,NA
"Acacia deanei","Not in GISD",NA,NA,NA
"Acacia decora","Not in GISD",NA,NA,NA
"Acacia hakeoides","Not in GISD",NA,NA,NA
"Acacia implexa","Not in GISD",NA,NA,NA
"Eucalyptus albens","Not in GISD",NA,NA,NA
